Entity 1,Relation,Entity 2
PsExec,lateral spread,ransomware
Noberus,type,ransomware
WMI,lateral spread,ransomware
BITSAdmin,lateral spread,ransomware
StopRansomware.gov,provide resources,ransomware
Conti,belong to,ransomware
Yanluowang,belong to,ransomware
LockBit,belong to,ransomware
botnets,repurposed to spread,ransomware
Bumblebee,intended payload,ransomware
wiper,disguised as,ransomware
KDU,utilized in conjunction with,ransomware
Dridex botnet,means of delivering,ransomware
sophisticated loader,used for,ransomware
Big Head,belong to,ransomware
GMER,leverage by,ransomware
ConnectWise,feature in,ransomware
Clop,belong to,ransomware
Buhti,belong to,ransomware
Babuk,belong to,ransomware
LockBit 3.0,belong to,ransomware
ransomware-as-a-service,involve,ransom negotiations
VBS script,execute,rYFFCeKHlIT.bat
spearphishing and intrusion campaign,related to,px.exe
PuTTY’s PSCP command line application,masquerade as,pvhost.exe
Exbyte,check,pstorec.dll
Merdoor,abuse,proxycfg.pak
Greenbug,use,proposal_pakistan110.chm:error.html
deep-green.exe,tool,procexp
Windows Management Instrumentation (WMI),log,processes.txt
Emotet,execute,powershell.exe
LockBit,launch,powershell.exe
Exmatter,start,powershell.exe
T1095,use,powershell dir
attacker,execute,powershell
cmd.exe,execute,powershell
PotPlayer Mini,launch,potplayermini.exe
DMG Installer,execute,postinstall script
schtasks,modify,postgresql.exe
schtasks,execute,postgresql.exe
PowerShell script,use file name,porn_video.rtf.lnk
Daggerfly,develop,plugins
malware,download,plugin_4.dll
plugin_3.dll,identical to,plugin_4.dll
ScrubCrypt,download,plugin_4.dll
malware,download,plugin_3.dll
ScrubCrypt,download,plugin_3.dll
freeSSHd,use,plink
Mimikatz,masquerade as,pl.exe
cmd.exe,execute,ping.exe
PurpleHaze,uses,phx.dll
spam campaigns,use,phishing web pages
Hydrochasma,use,phishing email
malicious cyber actor,send,phishing email
reflected cross-site scripting (XSS),redirect users to,phishing domains
file-sharing/storage services,used for,phishing campaigns
Russia,originate,phishing campaigns
PurpleHaze,uses,ph.dll
B0tchZ 0.2a,variant of,perlbot
Merdoor,inject,perfhost.exe
backdoor,injected into,perfhost.exe
HyperBro loader,file name,peloader.exe
mim221,file,pc.exe
variants,embed,pbxsources[.]com/queue
libffmpeg.dylib,reach out to,pbxsources[.]com
variants,embed,pbxphonenetwork[.]com/phone
variants,embed,pbxcloudeservices[.]com/network
malicious actor,drops,payload
Raindrop,use,packer
ProcDump,file name,p.exe
ProcDump,execute,p.exe
Exploit,takes advantage of,outdated software
APT actors,access,osker.aspx
APT actors,upload,osker.aspx
Soul module,resemble,original backdoor
TeamTNT,use,oracle[.]zzhreceive[.]top
C2 server,domain,opensea-user-reward[.]serveusers[.]com
Hydrochasma,use,open-source tools
Noberus,advertised through,onion domain
VBScripts,unpack,offspring.gif
variants,embed,officestoragebox[.]com/api/biosync
variants,embed,officeaddons[.]com/quality
Greenbug,use,off-the-shelf tools
ntuser.dat.tmcontainer.h264,child process,ntuser.dat.tm.declare.exe
Giddome backdoor,binary,ntuser.dat.tm.declare.exe
ntuser.dat.tmcontainer.asc,child process,ntuser.dat.tm.decay.exe
Shuckworm,use,ntuser.dat
final.cpl,changes to,ntuser.dat
BlackByte,check,ntoskrnl.exe
BlackByte,download,ntkrnlmp.pdb
Tinba,uses,ntdll.dll
AsyncRAT,dumped from,notepad.exe
wmiexec.py,file,notepad.exe
Noray Consulting Ltd.,website,noray[.]ca
C2 traffic,format,njRat version
spearphishing and intrusion campaign,related to,niu.exe
National Police of Ukraine,seized,nine virtual currency exchanges
U.S. Federal Bureau of Investigation,seized,nine virtual currency exchanges
Cryptonite,connect to,ngrok.io
attacker's actual location,IP,ngrok.com
actor-controlled server,tool,ngrok
crypto miner,set path for,newinit.sh
Flea,develop,new tools
Arid Gopher,file,networkvirtualizationstartservice.exe
Arid Gopher,file,"networkvirtualizationseoservice.exe, file"
Arid Gopher,file,networkvirtualizationfiaservice.exe
Arid Gopher,used to launch,networkuefidiagsbootserver.exe
Arid Gopher,execute,networkuefidiagsbootserver.exe
Arid Gopher,used to launch,networkswitcherdatamodell.exe
Arid Gopher,execute,networkswitcherdatamodell.exe
Group-IB,estimate,netted attackers
chrome_frame_helper.exe,execute,net.exe
Chinese state-sponsored cyber actors,use,net localgroup
Chinese state-sponsored cyber actors,use,net group
Vidar,use,my-odin[.]com
deerskin.exe,establish connection to,mucoris.ru:5612
Merdoor,abuse,msvcr100.dll
X_TRADER_r7.17.90p608.exe,drop,msvcr100.dll
winscard.dll,load,msvcr100.dll
variants,embed,msstorageboxes[.]com/xbox
DoRVA,terminate,msmpeng.exe
FlawedGrace,establish,msiexec[.]exe
RAT,inject,msiexec[.]exe
MSI file,execute,msiexec.exe
PowerShell,execute,msf.ps1
variants,embed,msedgepackageinfo[.]com/ms-webview
Sdiagnhost.exe,invoked by,msdt.exe
WinWord,spawns,msdt.exe
MsMpEng.exe,side loads and executes,mpsvc.dll
Msiexec.exe,attempting to download,mpr.dll
VBoxTray.exe,side-loaded with,mpr.dll
msiexec.exe,download,mpr.dll
spearphishing and intrusion campaign,related to,moonclient2.exe
toolset,include,modular backdoor
Buer Loader,use,minreq
mining script,sent to,mining pool server
malware,download,miner.bat
shell,spread,miner script
ScrubCrypt,load,miner
ransomware,launch,mimi.exe
WhiskerSpy,delivery server domain,microsoftwindow[.]sytes[.]net
start a reverse shell,to,microsofto.duckdns[.]org
Micropsia,deployed by,microsoftdotnet35.exe
Water Labbu,register,meiqla.com
information-recording PHP script,redirect,meiqia.com
meiqla.com,typosquatting,meiqia.com
Raindrop,install,mc_store.exe
Merdoor,use,mavinject.exe
Maui,create,maui.log
Purple Haze,functionality of,mass scale PPC fraud
DLL,used in,malware installation process
PowerShell,download,malware and archives
China's PLA,upload,malware
Daggerfly,use,malware
Android apps,infected with,malware
malicious actors,deliver,malware
Malicious Android Apps,infected with,malware
organization,developed,malware
malicious code,deliver,malware
evilextractor[.]com,seen in,malware
wlbsctrl.dll file,overwritten by,malware
Core1337,publish,malware
ErrorReportClient.exe,carrier of,malware
firefox.exe,carrier of,malware
gup.exe,carrier of,malware
WinRAR binary,decompress,malware
RegAsm.exe,target process of,malware
e:\works\2021\stonev4-legacy\cryptopp_5_6_4\cryptopp\secblock.h,source code location of,malware
alpine-based container,execute,malicious shell script
AdwCleaner,scans and removes,malicious files
cryptocurrency coinminer apps,used by,malicious actors
Cobalt Strike,used by,malicious actors
phone-related desktop apps,used by,malicious actors
system cleaner apps,used by,malicious actors
video format converters,used by,malicious actors
multimedia editors,used by,malicious actors
second stage payload,retrieves,malicious PowerShell script
Midjourney-x64.msix,execute,malicious PowerShell
The web shell,link,magiccoder.ir
Ants2Whale Application Analysis Windows Program,similar to,macOS X Program
Control Panel (CPL) file,name,m5ak8iW.cpl
recent attacks,misuse,lwp-download
p.exe,dump to,lsass2.dmp
lsass.exe,dumped,lsass2.dmp
resources.dll,access,lsass.exe
Process Dumper,file,lsass.exe
ProcDump,accepteula,lsass.exe
ProcDump,ma,lsass.exe
p.exe,accepteula,lsass.exe
POOLRAT,part of,long-running campaign
.NET backdoor code,HTTP call to,logon.aspx
shell,get,login brute force tool
[TEMP]\logexts.dll,loader,logexts.dll
Logger.dat,read and execute,logexts.dat
MSHTA.exe,technique,lockbit.hta
Arid Gopher,run,localsecuritypolicy.exe
Arid Gopher,used to launch,localsecuritypolicy.exe
Arid Gopher,execute,localsecuritypolicy.exe
toolset,include,loaders
attacker,use,loader
attacker,use,living-off-the-land tools
Greenbug,use,living-off-the-land tools
PowerShell script,execute,link.ps1
C&C server,domain,life.zerobytes[.]cc
msdtc.exe,loads,libvlc.dll
Java,used for,layered obfuscation
r8s[.]cc,return,latest stage script
PsExec,for,lateral movement
command prompt,for,lateral movement
Flea,be,large and well-resourced group
Laplas Clipper C2 panel,resolves to,laplas[.]app
Kupay Wallet,domain,kupaywallet[.]com
5e6a033fa01739d9b517a468bd812162,associated with,kkk.exe
toolset,include,keylogger
Kimsuky,use,keylogger
executable backdoor,contains,kdump64.dll
Tick,use,kcm-store[.]com
attackers,deploye,kb0394623.exe
LiGhT's Modded perlbot v2,C2 host,juice[.]baselinux[.]net
ClearSky,use,jquery-stack[.]online
UNC4736,use,journalide[.]org
Excel macro,contact,joexpediagroup[.]com
fakelogonscreen,deployed by,job-themed malware
Sharphound hacktool,deployed by,job-themed malware
downloader,deployed by,job-themed malware
JMT Trading,marketed and distributed on,jmttrading[.]org
STRRAT,part of,jbfrost[.]live
Crash Handler,name,javac.exe
Bitdefender Crash Handler,file name,javac.exe
Tick,use,isozaki.sakura.ne[.]jp
Cryptonite,connect to,ipinfo.io
Trend Micro Vision One,use,investigation tool
leonvi[.]ru,stopped while,investigating this scam
Karakurt,use,intrusion broker networks
ransomware,include,intpub.exe
Plink tool,route connections to,internal machine IP addresses
Noberus,use,intermittent encryption
Spyder Loader,goal,intelligence collection
svchost.exe,contact,instructor[.]giize[.]com
Batloader,use,installationupgrade6[.]com
spearphishing and intrusion campaign,related to,ins.exe
MgBot,deploy,innocence.dll
4a8854363044e4d66bf34a0cd331d93d,associated with,inn.exe
e62afe2273986240746203f9d55496db,associated with,inn.exe
ransomware,fueled by,initial access brokers
miner script,file,init.sh
crypto miner,download,init.sh
malicious actors,use,infrastructure
governments in Europe,target,infrastructure
U.S.,target,infrastructure
Stonefly,deploy,infostealer
Buhti,use,information stealer
remote code execution flaw,drop,information stealer
Tortoiseshell,deploy,information gathering tools
RDPdoor v4.2.x,collects,information about infected system
Cobalt Strike,connect,infinitysoftwares[.]com
Malekal_morte,explains,infection source
Blackhole exploit kit,used for,infection
Chinese state-sponsored cyber actors,import,infected domains
Kaspersky Lab,confirms,infected computers
Dr. Web,reports,infected computers
malicious actor,uses,infected WordPress webpage
winsccp[.]com,redirects to,infected WordPress webpage
imjputyc.exe,side-load,imjputyc.dll
imjputyc.dll,load,imjputyc.dat
Crash Handler,install,imjpuex.exe
Moses Staff group,use,iispool.aspx
Frebniis,inject,iisfreb.dll
Frebniis,obtain,iisfreb.dll
Frebniis,search,iisfreb.dll
iisfreb.dll,called by,iiscore.dll
Graphican,check,iexplore.exe
Preft backdoor,inject,iexplore.exe
monsboys.biz,has domain,ieubietubviurb.com
GuLoader,observed process,ieinstal.exe
17199ddac616938f383a0339f416c890,associated with,iass.dll
7caf4dbf53ff1dcd5bd5be92462b2995,associated with,iTunesHelper.exe
Core1337,publish,hypixel-coins
Latin American banking Trojan,directed to,hxxps://www.centralcfconsulta[.]net/index3.php?api=wen1eIFCeUh0jAS3mWIDUhSLt3sXMQ
Latin American banking Trojan,directed to,hxxps://www.centralcfconsulta[.]net/index3.php?api=r0ubnHRxDycEy5uFPViNA55Y3t
Latin American banking Trojan,directed to,hxxps://www.centralcfconsulta[.]net/index3.php?api=4DQSbdp3hLqPRGTbOGtl7jCD9FKNViKXmKd9Lv
Latin American banking Trojan,directed to,hxxps://www.centralcfconsulta[.]net/
MicrosoftSystemServices,URL,hxxps://usedust[.]com
Backdoor.Graphon,decoy,hxxps://usedust[.]com
Buer Loader,receive instructions from,hxxps://shipmentofficedepot[.]com
Custom Downloader,download,hxxps://outportal[.]azurewebsites.net/api/Values_V2/Getting3210
Backdoor.Graphon,communicate with,hxxps://msdnmicrosoft.azurewebsites[.]net/api/Values_V1/AuthAsyncComplete_V1?Identity=[INFECTION_ID]
Backdoor.Graphon,communicate with,hxxps://microsoftsgraphapi[.]azurewebsites.net/api/Values_V1/AuthAsyncComplete_V1?Identity=[INFECTION_ID]
Backdoor.Graphon,communicate with,hxxps://microsoftmsdn[.]azurewebsites.net/api/Values_V1/AuthAsyncComplete_V1?Identity=[INFECTION_ID]
phishing email,URL,hxxps://leanproconsulting[.]com.br/gov/covid19relief/sba.gov
Latin American banking Trojan,directed to,hxxps://centreldaconsulta[.]com/index3.php?api=nJsdr1J3h0fsG18sRAVQt6JjVW
Latin American banking Trojan,directed to,hxxps://centreldaconsulta[.]com/index3.php?api=ThMyMCAQEOLIC9nO
Latin American banking Trojan,directed to,hxxps://centreldaconsulta[.]com/
Latin American banking Trojan,directed to,hxxps://centralcfconsulta[.]net/index3.php?api=vFUMIfUzGz2QdjxTFKAMyTlh
Latin American banking Trojan,directed to,hxxps://centralcfconsulta.net/
malware,connect,hxxp[:]//happy[.]nanoace.co.kr/Content/rating/themes/krajee-fas/FrmAMEISMngWeb.asp
PowerShell command,download,hxxp://[INTERNAL_HOST]/label.ico
depended.exe,download from,hxxp://92.242.62.131/wordpress.php?is=[REDACTED]
msiexec.exe,access,hxxp://52.47.163[.]237/nanananao.uooo
msiexec.exe,access,hxxp://52.47.163[.]237/microsft.crts
powershell,wget,hxxp://209.14.0[.]234:46613/VcEtrKighyIFS5foGNXH
powershell,download,hxxp://192.168.3.13/email.jpeg
GuLoader,downloaded from,hxxp://178.73.192[.]15/ca1.exe
msiexec.exe,access,hxxp://15.237.60[.]133/esperanca.liga
msiexec.exe,access,hxxp://15.237.60[.]133/esperanca.lig2
msiexec.exe,access,hxxp://15.237.27[.]77/carindodone.ways
msiexec.exe,access,hxxp://13.36.240[.]208/msftq.doge
msiexec.exe,access,hxxp://13.36.240[.]208/ando998.002
Core1337,publish,httpxrequesterv2
Core1337,publish,httpxrequester
unioncrypto[.]vip,recorded on,https://www.unioncrypto[.]vip/download/W6c2dq8By7luMhCmya2v97YeN
Veiledsignal,connect,https://www.tradingtechnologies.com/trading/order-management
attacker,use,https://www.sendspace.com
Group-IB,source,https://www.group-ib.com/media/ransomware-empire-2021/
ECCENTRICBANDWAGON,available at,https://us-cert.cisa.gov/northkorea
attacker,use,https://ufile.io
attacker,use,https://send.exploit.in
Mimikatz,download from,https://raw.githubusercontent.com/<redacted>/Invoke-Mimikatz.ps1
libffmpeg.dylib,download payload from,https://msstorageazure[.]com/analysis
attacker,use,https://mega.nz
Clasiopa,URL,https://ifconfig.me/ip
attacker,copy from,https://github.com/zcgonvh/EfsPotato
KDU,from,https://github.com/hfiref0x/KDU
Graphiron,obtain IP address from,https://checkip.amazonaws.com
attacker,use,https://anonfiles.com
WebDav client,URL,https://159.89.128.13/data/
WebDav client,URL,https://157.230.28.192/data/
Mirai Variant,download,http[:]//107[.]189[.]8[.]21/pedalcheta/cutie[.]x86_64
Mining script,connect to,http://statdynamic.com/lib/crypta.js
Arid Gopher,connects to,http://salimafia[.]net/IURTIER3BNV4ER/DWL1RucGSj/4wwA7S8jQv
Arid Gopher,follows,http://salimafia[.]net/IURTIER3BNV4ER/AJLUK9BI48/0L6W3CSBMC
Tor address,visit,http://mu75ltv3lxd24dbyu6gtvmnwybecigs5auki7fces437xvvflzva2nqd.onion/?access-key=${ACCESS_KEY}
BlackByte,download from,http://msdl.microsoft.com/download/symbols/ntkrnlmp.pdb/11D60DB07BA7433B923F49867DF515721/ntkrnlmp.pdb
